feature,anova_f,anova_p,mutual_info_classif,max_group_mean_gap_std_units,lowest_group_mean,highest_group_mean
essay_len_diff_vs_extracted,5.0153540567107555,0.00013637863882607197,0.0271855938736838,0.1604576562241362,high_7_5_8,lower_mid_4_5_5
content_repetition_ratio,36.44969313162397,4.0205528167044e-37,0.026927569576588706,0.41577912210382645,high_7_5_8,low_0_4
long_word_ratio,127.68276577134571,2.2124997248081676e-131,0.0266436030367041,0.7792213312798775,lower_mid_4_5_5,high_7_5_8
lexical_chain_coverage,37.273811556430424,5.50010745115333e-38,0.02586786254365725,0.44351679984091374,high_7_5_8,lower_mid_4_5_5
body_conclusion_jaccard,6.088093203946392,1.2316359582994789e-05,0.025835941241952654,0.1850557894081517,very_high_8_5_9,low_0_4
intro_body_jaccard,16.165363757449587,6.584077720418631e-16,0.024238709674415215,0.24231736007124383,upper_mid_6_5_7,low_0_4
connective_count,30.718392647434722,4.098275131148644e-31,0.023922066821042698,0.3316478602967225,low_0_4,mid_5_5_6
num_large_lexical_chains,10.254183824899458,8.082678642882977e-10,0.023811219890971014,0.2580423874394615,high_7_5_8,lower_mid_4_5_5
body_prompt_overlap,21.17531278592031,3.9940391744943036e-21,0.020579501463904304,0.32265309868076814,very_high_8_5_9,upper_mid_6_5_7
sentence_count,10.675886481433853,3.00116416771707e-10,0.0197446527906755,0.20353937806090108,low_0_4,upper_mid_6_5_7
adjacent_sentence_overlap_std,49.85718308029585,3.651623810288275e-51,0.01966348701347398,0.5212753737826249,high_7_5_8,low_0_4
repeated_word_error_per_100,16.327658460819567,4.467329912179839e-16,0.019146695885556397,0.27642718536616495,high_7_5_8,low_0_4
prompt_overlap,12.059553057630836,1.1480099682111917e-11,0.019018152728487614,0.23678980078992135,low_0_4,high_7_5_8
connective_per_sentence,4.920727651479907,0.00016819040666632112,0.018914319896021325,0.23670441397727573,very_high_8_5_9,lower_mid_4_5_5
adjacent_sentence_overlap_mean,41.94893326880854,6.932556209779895e-43,0.018797761312595807,0.48027658113013316,high_7_5_8,low_0_4
intro_conclusion_jaccard,0.4843658474224969,0.7882081439200826,0.018713251084914173,0.03730344714042899,lower_mid_4_5_5,low_0_4
academic_word_ratio,5.399846830156611,5.792352348881581e-05,0.018672855361629548,0.16682172431622116,low_0_4,high_7_5_8
avg_sentence_len,4.593910360186985,0.00034570208539893107,0.018005878643005513,0.19948370397396853,low_0_4,lower_mid_4_5_5
sentence_len_std,18.36590033418381,3.3956135052899562e-18,0.016274956070600588,0.33542591238711994,high_7_5_8,lower_mid_4_5_5
trait_spread_le_0_5,105.24771009179895,1.5944110996898565e-108,0.015080260680146118,0.9070891410520835,high_7_5_8,very_high_8_5_9
trigram_diversity,13.612153272230735,2.892604045380021e-13,0.014925195773136224,0.26583759322849543,low_0_4,high_7_5_8
transition_sentence_start_ratio,19.56298697692787,1.921710581576804e-19,0.014152359436819584,0.3006404040193747,low_0_4,high_7_5_8
prompt_word_count,12.145082321330571,9.377483784383556e-12,0.013313604408886626,0.30867072156731123,low_0_4,lower_mid_4_5_5
conclusive_connective_count,38.91026269033603,1.0594314220804033e-39,0.012734120664692483,0.41085629433133636,low_0_4,high_7_5_8
sentence_start_repetition_ratio,2.7218880591377554,0.01834544758861581,0.012652458153137314,0.09956726651772672,low_0_4,mid_5_5_6
lowercase_i_per_100,35.268664234799985,6.956875569160003e-36,0.012214035118521593,0.37805700330806885,high_7_5_8,low_0_4
comma_splice_proxy,11.182290198352144,9.109475248206506e-11,0.01147248092315456,0.21880852026227893,low_0_4,high_7_5_8
prompt_bigram_overlap,0.7048139159647643,0.6197631794423948,0.011337597086048756,0.0647444551926041,very_high_8_5_9,low_0_4
run_on_sentence_ratio,7.7268773022758275,2.907145933877327e-07,0.010613618755250798,0.2459009929867616,high_7_5_8,lower_mid_4_5_5
causal_connective_count,8.838641611860577,2.2110366324338218e-08,0.009161063356254662,0.18215784818702568,low_0_4,lower_mid_4_5_5
simple_sva_error_per_100,1.4533834166445316,0.20164435648422935,0.009027201259208972,0.07972571290246494,high_7_5_8,low_0_4
contrastive_connective_count,14.406025273778456,4.37693233649898e-14,0.007917682032767104,0.284350100548527,low_0_4,high_7_5_8
subordinator_ratio,5.201279269179524,9.021619411265957e-05,0.007879773247207567,0.1980097129978393,very_high_8_5_9,lower_mid_4_5_5
informal_word_ratio,14.756056816261378,1.901381959390695e-14,0.007849537028613351,0.22448480582996788,high_7_5_8,low_0_4
temporal_connective_count,4.341737859903891,0.0006002099959518874,0.007765330175601104,0.10503587919690767,very_high_8_5_9,upper_mid_6_5_7
trait_all_equal,71.5949510763696,8.052103005594086e-74,0.007749296926177873,0.9393111921703124,high_7_5_8,very_high_8_5_9
bigram_diversity,34.22906491453077,8.556783104290458e-35,0.007375886020603684,0.39977348130760815,lower_mid_4_5_5,high_7_5_8
avg_lexical_chain_size,15.545987280551163,2.8900085512286888e-15,0.006761209220912612,0.2830405695292803,high_7_5_8,low_0_4
lexical_chain_count,25.858209687552105,5.06349571013022e-26,0.006734518410320245,0.3331409685753881,low_0_4,upper_mid_6_5_7
very_long_sentence_ratio,7.7268773022758275,2.907145933877327e-07,0.005992791513237172,0.2459009929867616,high_7_5_8,lower_mid_4_5_5
very_short_sentence_ratio,21.557418068743896,1.5936186918409863e-21,0.0029412867917804064,0.32236426771368465,high_7_5_8,low_0_4
conclusion_prompt_overlap,2.464059265773829,0.03072509868945051,0.002171699225226753,0.14026175049667164,lower_mid_4_5_5,high_7_5_8
intro_prompt_overlap,12.48982550537217,4.146579363768487e-12,0.0020338952813085953,0.2863931963214454,lower_mid_4_5_5,very_high_8_5_9
conclusion_signal,8.236618783646326,8.947687045834759e-08,0.0014082036371050322,0.2505831802957086,lower_mid_4_5_5,very_high_8_5_9
intro_thesis_signal,46.89925733153866,4.540916648712642e-48,0.0,0.6933560497646498,upper_mid_6_5_7,very_high_8_5_9
additive_connective_count,5.119803130830365,0.00010814749072812146,0.0,0.13297499815449706,low_0_4,mid_5_5_6
semicolon_colon_per_sentence,1.2414439929140009,0.286669514470115,0.0,0.09230662923788191,mid_5_5_6,lower_mid_4_5_5
